id,nickname,post,followers
145,matberrettini,341,1563752
0,ajlatom,294,256767
2,claratauson,110,28509
3,emmaraducanu,217,2542552
4,naomiosaka,347,2757241
5,riske4rewards,410,26787
6,alison_van_uytvanck,233,9088
7,alizecornet,963,154078
8,nastia_pav,512,143148
9,andreapetkovici,539,156122
10,anett_kontaveit,607,170100
12,arantxarus1,198,23672
13,sabalenka_aryna,569,397570
15,bkrejcikova,388,81359
16,barborastrycova,1158,111957
17,belindabencic,920,423597
19,biancaandreescu_,411,705075
20,camila_giorgi_official,176,656173
21,carogarcia,860,235469
22,christina_mchale,557,30437
23,cocogauff,169,854021
24,cocovandey,1081,66717
25,danimalcollins,156,171313
26,kasatkina,367,236828
29,lenarybakina,169,216278
1,tennischampann,46,5770
11,angie.kerber,555,672716
30,elisvitolina,1216,859936
31,mertenselise,689,82967
32,geniebouchard,1670,2369293
33,garbimuguruza,911,896216
35,iga.swiatek,594,1060417
36,irina_camy15,36,21114
37,jasmine_paolini,139,21503
38,jelena.ostapenko,596,181185
39,jenny_brady7,175,53727
40,jpegula,286,82178
14,ashbarty,784,533726
41,jilteich,219,39206
42,kaiakanepi,170,14040
43,karolinapliskova,806,444907
44,kirstenflipkens,566,23759
45,kristinamladenovic93,774,348836
46,leylahannietennis,401,343050
47,madisonkeys,501,218916
49,mayarsherif_1,89,31150
50,gibbsyyyy,977,52898
51,onsjabeur,369,830314
52,paulabadosa,431,677644
53,petra.kvitova,1210,656385
54,thepetramartic,498,55507
55,hercogpolona,200,24002
56,samstosur,198,43433
57,sarasorribes,158,30804
58,serenawilliams,2027,16149832
66,venuswilliams,905,1915414
59,shelbyrogers,20,74
61,simonahalep,302,1741993
62,sloanestephens,472,573014
63,sofia.kenin,349,205864
64,soranacirstea,663,159080
65,tamarazidansek997,146,13444
67,vera.zvonareva,164,14821
68,v.kudermetova,484,85184
69,vichka35,1199,699366
70,alexeipopyrin,216,48148
71,carlitosalcarazz,504,2139840
72,casperruud,392,429421
73,jenson_brooksby,126,36928
74,taylor_fritz,328,323910
75,adrianmannarino,218,20932
76,albertramosvinolas,302,25100
77,aledavidovichofficial,186,309034
78,alexdeminaur,440,259270
79,bublik,39,153090
80,alexzverev123,679,1832797
81,aljazbedene,303,16312
82,andyseppio,524,102400
83,andreyrublev,285,369758
84,andymurray,432,1910558
85,arthurrinder,198,18811
86,karatsev93,59,60673
87,benshelton,70,42537
88,benbonzi,180,46600
89,benpaire,1575,396581
90,bernard_tomic,189,4713
91,bornacoric,669,258638
92,boticvandezandschulp,139,27715
93,norriee,506,131880
94,garincris,122,181270
95,daniel.altmaier,64,12075
97,medwed33,437,1004937
98,david__goffin,720,287327
100,denis.shapovalov,694,574317
101,dieschwartzman,1781,746881
102,domithiem,1098,1425078
103,dominik.koepfer,123,14077
104,dutzee,372,43498
105,dreddy_ja,765,125261
106,fabiofogna,1092,648080
107,fededelbonis,151,21317
108,felilopezoficial,921,244072
109,felixaliassime,533,521703
110,ferverdasco,1771,282310
111,bigfoe1998,354,442539
112,iamgaelmonfils,210,913521
113,gilles.simon84,7,11413
114,grigordimitrov,510,1040318
115,guido_pella,281,189005
116,henrilaaksonen92,41,2742
117,holgerrune,494,345469
118,hubihurkacz,369,166243
119,ivokarlovic,405,31134
120,jack.sock,987,269150
121,jamesduckworth21,159,8855
122,jl_struff,173,40131
123,janniksin,348,715942
124,jimchardy,871,74566
125,veselyjiri,365,25491
126,joaosousaoficial,481,67483
127,johnrisner,133,204857
128,johnnyhm,408,49163
129,tsongaofficiel,782,534519
130,karenkhachanov,587,279181
131,keinishikori,351,524733
132,kandersonatp,587,121377
133,kyle.edmund,478,86967
134,lacidj_95,184,27401
138,lorenzosonego,624,113166
139,lucaspouille,804,160283
140,mackiemacster,554,50114
141,mac_huesler,104,25754
137,mcosgiron,160,19553
143,marincilic,500,214975
142,martonfuscovics,1,3844
146,ymerjr,16,31185
147,mraonic,419,330680
148,k1ngkyrg1os,1103,3391983
149,nikolozbasilashvili,121,95733
150,djokernole,1013,12033567
151,pabloandujaroficial,371,34360
152,pablo_carreno_,480,151032
153,pablocuevas86,264,63471
154,pierrehuguesherbert,713,103837
155,rafaelnadal,1288,17636249
156,reillyopelka,92,89501
157,richardgasquet34,194,146170
158,robertobautistaagut,614,125840
159,robin_haase,434,19381
160,rogerfederer,434,11198023
161,ryan.harrison92,103,17988
162,samquerrey,235,30247
163,sebastiankorda,218,128631
164,soonwookwon,31,45887
165,stefanostsitsipas98,1004,1716802
166,stanwawrinka85,1212,1253835
167,steviej345,176,22831
168,tarodaniel,333,29078
169,tsandgren7,196,20427
170,the_kokk1,467,319151
171,timvrijthoven,64,96465
172,tommypaull,278,87454
173,ugohumbert,198,63882
174,vasek.pospisil,494,92499
96,danevo.official,83,29750
48,mariasakkari,850,417483
27,donnavekic,840,221918
28,ekaterina_alexandrova94,68,24195
136,lloydharris24,247,26982
18,matteksands,2491,158616
34,heatherwatson92,285,122856
